driverId,TotalPositionsGained
1,155.0
2,335.0
3,56.0
4,585.0
5,150.0
6,57.0
7,34.0
8,350.0
9,16.0
10,224.0
11,161.0
12,57.0
13,176.0
14,284.0
15,173.0
16,138.0
17,154.0
18,469.0
19,29.0
20,205.0
21,453.0
22,350.0
23,186.0
24,175.0
25,190.0
26,81.0
27,116.0
28,0.0
29,61.0
30,269.0
31,59.0
32,57.0
33,127.0
34,9.0
35,194.0
36,11.0
37,230.0
38,27.0
39,100.0
40,20.0
41,86.0
42,22.0
43,26.0
44,358.0
45,11.0
46,23.0
47,60.0
48,172.0
49,170.0
50,313.0
51,31.0
52,37.0
53,33.0
54,62.0
55,350.0
56,192.0
57,250.0
58,87.0
59,74.0
60,113.0
61,15.0
62,53.0
63,373.0
64,298.0
65,489.0
66,42.0
67,115.0
68,77.0
69,210.0
70,103.0
71,83.0
72,0.0
73,99.0
74,31.0
75,136.0
76,62.0
77,146.0
78,222.0
79,240.0
80,0.0
81,200.0
82,18.0
83,151.0
84,462.0
85,50.0
86,15.0
87,155.0
88,174.0
89,41.0
90,97.0
91,71.0
92,103.0
93,25.0
94,352.0
95,169.0
96,49.0
97,13.0
98,9.0
99,141.0
100,288.0
101,83.0
102,-32.0
103,174.0
104,242.0
105,504.0
106,53.0
107,15.0
108,45.0
109,202.0
110,405.0
111,52.0
112,342.0
113,9.0
114,152.0
115,0.0
116,9.0
117,135.0
118,282.0
119,272.0
120,47.0
121,23.0
122,176.0
123,471.0
124,0.0
125,34.0
126,21.0
127,187.0
128,30.0
129,135.0
130,0.0
131,117.0
132,0.0
133,221.0
134,0.0
135,0.0
136,109.0
137,230.0
138,207.0
139,114.0
140,290.0
141,67.0
142,0.0
143,0.0
144,0.0
145,113.0
146,30.0
147,37.0
148,21.0
149,0.0
150,0.0
151,35.0
152,143.0
153,117.0
154,105.0
155,169.0
156,487.0
157,165.0
158,307.0
159,94.0
160,223.0
161,0.0
162,0.0
163,220.0
164,0.0
165,23.0
166,284.0
167,16.0
168,11.0
169,107.0
170,64.0
171,0.0
172,422.0
173,239.0
174,29.0
175,249.0
176,422.0
177,206.0
178,271.0
179,93.0
180,38.0
181,67.0
182,289.0
183,51.0
184,187.0
185,96.0
186,12.0
187,522.0
188,74.0
189,38.0
190,34.0
191,0.0
192,137.0
193,67.0
194,91.0
195,43.0
196,130.0
197,401.0
198,0.0
199,91.0
200,437.0
201,74.0
202,161.0
203,57.0
204,0.0
205,96.0
206,200.0
207,126.0
208,19.0
209,32.0
210,0.0
211,115.0
212,150.0
213,0.0
214,0.0
215,0.0
216,38.0
217,58.0
218,0.0
219,10.0
220,0.0
221,166.0
222,220.0
223,174.0
224,437.0
225,0.0
226,0.0
227,0.0
228,0.0
229,114.0
230,173.0
231,81.0
232,89.0
233,153.0
234,0.0
235,227.0
236,10.0
237,69.0
238,153.0
239,227.0
240,15.0
241,0.0
242,0.0
243,243.0
244,0.0
245,0.0
246,58.0
247,0.0
248,0.0
249,8.0
250,109.0
251,37.0
252,142.0
253,21.0
254,28.0
255,37.0
256,43.0
257,0.0
258,89.0
259,34.0
260,0.0
261,0.0
262,138.0
263,0.0
264,0.0
265,78.0
266,0.0
267,31.0
268,0.0
269,10.0
270,11.0
271,11.0
272,13.0
273,0.0
274,15.0
275,77.0
276,51.0
277,52.0
278,103.0
279,0.0
280,211.0
281,0.0
282,8.0
283,0.0
284,27.0
285,0.0
286,9.0
287,-1.0
288,77.0
289,390.0
290,125.0
291,14.0
292,19.0
293,8.0
294,26.0
295,0.0
296,34.0
297,11.0
298,94.0
299,0.0
300,9.0
301,5.0
302,12.0
303,0.0
304,166.0
305,126.0
306,249.0
307,139.0
308,15.0
309,34.0
310,0.0
311,13.0
312,57.0
313,43.0
314,72.0
315,0.0
316,0.0
317,46.0
318,0.0
319,0.0
320,71.0
321,21.0
322,57.0
323,16.0
324,12.0
325,0.0
326,0.0
327,62.0
328,64.0
329,139.0
330,50.0
331,8.0
332,56.0
333,99.0
334,0.0
335,0.0
336,0.0
337,56.0
338,26.0
339,0.0
340,43.0
341,137.0
342,4.0
343,0.0
344,10.0
345,154.0
346,176.0
347,226.0
348,10.0
349,0.0
350,64.0
351,21.0
352,24.0
353,25.0
354,0.0
355,10.0
356,124.0
357,24.0
358,39.0
359,35.0
360,260.0
361,46.0
362,17.0
363,-1.0
364,37.0
365,8.0
366,0.0
367,0.0
368,16.0
369,0.0
370,63.0
371,0.0
372,0.0
373,-7.0
374,72.0
375,41.0
376,49.0
377,0.0
378,0.0
379,5.0
380,8.0
381,0.0
382,9.0
383,80.0
384,0.0
385,73.0
386,65.0
387,5.0
388,27.0
389,50.0
390,19.0
391,0.0
392,6.0
393,0.0
394,84.0
395,8.0
396,33.0
397,38.0
398,0.0
399,32.0
400,8.0
401,34.0
402,11.0
403,65.0
404,61.0
405,18.0
406,11.0
407,5.0
408,116.0
409,7.0
410,4.0
411,7.0
412,1.0
413,3.0
414,0.0
415,0.0
416,0.0
417,0.0
418,94.0
419,0.0
420,9.0
421,0.0
422,0.0
423,21.0
424,8.0
425,8.0
426,0.0
427,191.0
428,11.0
429,42.0
430,158.0
431,12.0
432,4.0
433,12.0
434,26.0
435,3.0
436,18.0
437,69.0
438,19.0
439,6.0
440,62.0
441,17.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,14.0
449,7.0
450,0.0
451,0.0
452,0.0
453,29.0
454,4.0
455,22.0
456,101.0
457,0.0
458,0.0
459,18.0
460,9.0
461,0.0
462,7.0
463,5.0
464,0.0
465,11.0
466,0.0
467,0.0
468,12.0
469,7.0
470,0.0
471,8.0
472,0.0
473,0.0
474,0.0
475,51.0
476,57.0
477,70.0
478,32.0
479,13.0
480,11.0
481,60.0
482,30.0
483,27.0
484,9.0
485,0.0
486,31.0
487,0.0
488,0.0
489,17.0
490,0.0
491,0.0
492,0.0
493,4.0
494,5.0
495,0.0
496,23.0
497,6.0
498,39.0
499,6.0
500,16.0
501,110.0
502,4.0
503,0.0
504,0.0
505,6.0
506,12.0
507,8.0
508,0.0
509,96.0
510,34.0
511,4.0
512,38.0
513,80.0
514,35.0
515,19.0
516,36.0
517,11.0
518,32.0
519,20.0
520,29.0
521,-23.0
522,5.0
523,2.0
524,5.0
525,42.0
526,16.0
527,-20.0
528,21.0
529,12.0
530,-9.0
531,-2.0
532,3.0
533,-5.0
534,-8.0
535,20.0
536,-25.0
537,-28.0
538,17.0
539,0.0
540,0.0
541,44.0
542,12.0
543,6.0
544,7.0
545,4.0
546,0.0
547,31.0
548,9.0
549,21.0
550,0.0
551,9.0
552,0.0
553,0.0
554,59.0
555,56.0
556,22.0
557,6.0
558,24.0
559,3.0
560,23.0
561,0.0
562,8.0
563,24.0
564,11.0
565,0.0
566,27.0
567,8.0
568,0.0
569,11.0
570,0.0
571,0.0
572,9.0
573,3.0
574,0.0
575,0.0
576,0.0
577,58.0
578,52.0
579,0.0
580,74.0
581,72.0
582,0.0
583,25.0
584,0.0
585,0.0
586,13.0
587,0.0
588,0.0
589,64.0
590,22.0
591,23.0
592,15.0
593,38.0
594,17.0
595,13.0
596,13.0
597,-11.0
598,0.0
599,0.0
600,0.0
601,0.0
602,9.0
603,10.0
604,0.0
605,0.0
606,13.0
607,32.0
608,1.0
609,28.0
610,0.0
611,47.0
612,46.0
613,14.0
614,0.0
615,11.0
616,0.0
617,8.0
618,0.0
619,48.0
620,28.0
621,0.0
622,24.0
623,7.0
624,21.0
625,15.0
626,33.0
627,157.0
628,12.0
629,20.0
630,10.0
631,0.0
632,21.0
633,29.0
634,0.0
635,0.0
636,0.0
637,0.0
638,5.0
639,0.0
640,62.0
641,30.0
642,10.0
643,73.0
644,34.0
645,0.0
646,0.0
647,10.0
648,32.0
649,0.0
650,15.0
651,31.0
652,0.0
653,55.0
654,-14.0
655,3.0
656,41.0
657,9.0
658,-20.0
659,18.0
660,105.0
661,12.0
662,16.0
663,35.0
664,4.0
665,9.0
666,0.0
667,11.0
668,0.0
669,63.0
670,37.0
671,0.0
672,8.0
673,14.0
674,16.0
675,8.0
676,14.0
677,-6.0
678,0.0
679,16.0
680,32.0
681,0.0
682,6.0
683,9.0
684,0.0
685,0.0
686,20.0
687,40.0
688,17.0
689,16.0
690,9.0
691,6.0
692,16.0
693,18.0
694,0.0
695,4.0
696,8.0
697,45.0
698,0.0
699,15.0
700,7.0
701,21.0
702,20.0
703,8.0
704,29.0
705,4.0
706,0.0
707,0.0
708,2.0
709,34.0
710,12.0
711,0.0
712,0.0
713,0.0
714,0.0
715,0.0
716,0.0
717,15.0
718,0.0
719,9.0
720,11.0
721,18.0
722,0.0
723,15.0
724,7.0
725,0.0
726,2.0
727,14.0
728,3.0
729,1.0
730,12.0
731,4.0
732,27.0
733,0.0
734,24.0
735,6.0
736,19.0
737,8.0
738,1.0
739,0.0
740,4.0
741,33.0
742,11.0
743,4.0
744,-4.0
745,0.0
746,10.0
747,0.0
748,12.0
749,0.0
750,0.0
751,5.0
752,13.0
753,-3.0
754,0.0
755,0.0
756,0.0
757,0.0
758,0.0
759,7.0
760,0.0
761,0.0
762,9.0
763,-5.0
764,17.0
765,0.0
766,18.0
767,17.0
768,0.0
769,0.0
770,8.0
771,1.0
772,13.0
773,18.0
774,5.0
775,0.0
776,0.0
777,0.0
778,14.0
779,0.0
780,7.0
781,0.0
782,0.0
783,0.0
784,7.0
785,3.0
786,1.0
787,8.0
788,10.0
789,0.0
790,0.0
791,0.0
792,0.0
793,5.0
794,4.0
795,5.0
796,7.0
797,7.0
798,0.0
799,-7.0
800,8.0
801,9.0
802,4.0
803,0.0
804,-3.0
805,0.0
806,7.0
807,22.0
808,81.0
810,44.0
811,70.0
812,50.0
813,95.0
814,73.0
815,318.0
816,62.0
817,247.0
818,97.0
819,106.0
820,90.0
821,63.0
822,7.0
823,30.0
824,60.0
825,20.0
826,150.0
827,0.0
828,224.0
829,25.0
830,210.0
831,100.0
832,158.0
833,35.0
834,12.0
835,69.0
836,82.0
837,12.0
838,106.0
839,150.0
840,286.0
841,53.0
842,50.0
843,38.0
844,67.0
845,33.0
846,2.0
847,62.0
848,55.0
849,76.0
850,1.0
851,1.0
852,-8.0
853,10.0
854,35.0
855,21.0
856,-12.0
857,-11.0
858,15.0
